"AE"	100000.0
"AS"	18053.0
"AT"	72920.75
"AU"	108042.66666666667
"BE"	85699.0
"BR"	18602.666666666668
"CA"	99823.73333333334
"CH"	64114.0
"CL"	40038.0
"CN"	71665.5
"CO"	21844.0
"CZ"	50937.0
"DE"	81887.21428571429
"DK"	54386.333333333336
"DZ"	100000.0
"EE"	32974.0
"ES"	53060.142857142855
"FR"	63970.666666666664
"GB"	81583.0425531915
"GR"	52293.09090909091
"HN"	20000.0
"HR"	45618.0
"HU"	35735.0
"IE"	71444.0
"IL"	119059.0
"IN"	28581.75
"IQ"	100000.0
"IR"	4000.0
"IT"	36366.5
"JP"	114127.33333333333
"KE"	9272.0
"LU"	43942.666666666664
"MD"	18000.0
"MT"	28369.0
"MX"	32123.333333333332
"MY"	40000.0
"NG"	30000.0
"NL"	54945.75
"NZ"	125000.0
"PK"	13333.333333333334
"PL"	66082.5
"PT"	47793.75
"RO"	60000.0
"RU"	157500.0
"SG"	89294.0
"SI"	63831.0
"TR"	20096.666666666668
"UA"	13400.0
"US"	144055.26197183097
"VN"	4000.0
Highest Paying Country:
   Country  Average_Salary
43      RU        157500.0
